,zone_name,zone_lat,zone_lng,zone_address,max_car,limit_car
0,SK주차장,37.573011,126.804605,서울 강서구 방화동 500-8,5,20
1,스타주차장,37.268503,127.002136,경기 수원시 팔달구 매산로1가 19-1,10,18
2,월드애비뉴,37.645571,126.627879,경기 김포시 구래동 6880-7,5,27
3,제뉴빌딩주차장,37.654861,127.244576,경기 남양주시 호평동 642-2,9,24
4,용정주차장,37.565186,126.816185,서울 강서구 방화동 608-9,7,22
5,제일주차장,37.507687,127.066147,서울 강남구 대치동 1000-6,6,20
6,웨스트엔드 3차,37.553017,126.826775,서울 강서구 내발산동 750-10,7,29
7,위례푸른초등학교 앞,37.469258,127.151721,경기 성남시 수정구 창곡동 521,8,28
8,광명역D환승주차장(지하주차장),37.413876,126.883526,경기 광명시 일직동 380-10,6,26
9,국제주차빌딩,37.53997,127.215714,경기 하남시 신장동 525,5,17
10,광교엘포트아이파크 b동,37.287037,127.057896,경기 수원시 영통구 이의동 1336-1,7,28
11,베스토아주차타워,37.249641,127.035355,경기 수원시 권선구 권선동 1296-7,7,26
12,GS수퍼마켓 안양덕천점,37.395375,126.930419,경기 안양시 만안구 안양동 1391,6,23
13,인계예술공원(현충탑) 주차장,37.258294,127.034731,경기 수원시 팔달구 인계동 1128,8,19
14,도곡로21길7 공영주차장,37.49255,127.038857,서울 강남구 역삼동 795-25,8,15
15,덕소유료주차장,37.58606,127.21196,경기 남양주시 와부읍 덕소리 473-4,9,16
16,강동주차장,35.178774,128.952002,부산 강서구 대저2동 2077,4,20
17,직원전용주차장,35.171036,128.951645,부산 강서구 대저2동 2764-2,8,17
18,대청역 1번출구(대청타워),37.494476,127.079674,서울 강남구 개포동 13-3,7,17
19,송산주차장,37.275311,127.015862,경기 수원시 팔달구 팔달로3가 79,7,30
20,호텔데님,37.476199,127.04681,서울 강남구 개포동 1229-19,5,22
21,관문주차장,37.563545,126.809723,서울 강서구 방화2동 612-18,7,16
22,거주자우선주차구역,37.588118,126.936539,서울 서대문구 홍제동 334-85,9,15
23,서울의료원,37.514202,127.066124,서울 강남구 삼성동 171,9,15
24,신라스테이 역삼점,37.504696,127.041237,서울 강남구 역삼동 675-3,9,21
25,88주차장,37.568459,127.051956,서울 동대문구 답십리동 530-8,4,23
26,AJ파크 광교더로프트점,37.29052,127.046971,경기 수원시 영통구 이의동 1349,10,24
27,태안프라자,37.214298,127.043884,경기 화성시 병점동 846,9,24
28,신설동역대우아이빌 102동,37.576986,127.028924,서울 동대문구 용두동 236-1,6,24
29,한국빌딩 주차장,37.474052,126.868912,경기 광명시 철산동 424,7,17
30,NC백화점 강서점 주차장,37.560196,126.841286,서울 강서구 등촌동 689,7,25
31,미주상가A동주차장,37.582483,127.047236,서울 동대문구 청량리동 235-4,9,22
32,장안주차장,37.569481,127.066994,서울 동대문구 장안동 392-3,9,20
33,군인공제회관,37.488924,127.05272,서울 강남구 도곡동 467-13,8,15
34,장암동아아파트 116동 앞 동아스포츠센터,37.724424,127.054605,경기 의정부시 장암동 20,8,24
35,한국과학기술회관,37.500458,127.03054,서울 강남구 역삼동 635-2,7,27
36,김포중삼거리,37.622253,126.711343,경기 김포시 사우동 1140-3,8,27
37,EAN빌딩,37.506688,127.053105,서울 강남구 삼성동 143-20,6,23
38,삼우주차장,37.58036,127.044373,서울 동대문구 청량리동 746,8,19
39,세종주차장,37.477837,126.859077,경기 광명시 광명동 158-303,6,29
40,연가교교차로 옆,37.571198,126.923088,서울 서대문구 연희동 522-2,6,26
41,행신역 B주차장,37.612446,126.835502,경기 고양시 덕양구 행신동 811,4,30
42,플러스타운,37.251579,127.076022,경기 수원시 영통구 영통동 1009-2,10,29
43,광교1동주민센터 옆,37.289747,127.047173,경기 수원시 영통구 이의동 1348-3,6,23
44,홍제주차장,37.58844,126.944099,서울 서대문구 홍제동 306-1,8,17
45,웨딩플로체 유료주차장,37.734642,127.048927,경기 의정부시 의정부동 127-4,4,22
46,오성트래빌,37.549908,126.860518,서울 강서구 등촌동 530-19,4,18
47,외대앞역 공영주차빌딩 옥외주차장,37.595203,127.062729,서울 동대문구 이문동 304-44,8,28
48,삼선교주차장,37.588623,127.010368,서울 성북구 삼선동4가 18-6,7,18
49,의정부유료주차장,37.737343,127.043846,경기 의정부시 의정부동 496-8,10,27
50,수원종합운동장주차장(북문),37.298846,127.008087,경기 수원시 장안구 조원동 825,5,28
51,정릉동주차장,37.607132,127.010278,서울 성북구 정릉동 408-13,4,30
52,중앙프라자,37.259211,127.04506,경기 수원시 영통구 매탄동 1267-7,4,30
53,태극주차장,37.59359,127.018692,서울 성북구 동선동1가 119-10,4,24
54,우인아크리움빌2,37.663559,126.764687,경기 고양시 일산동구 장항동 746,6,21
55,리슈빌오피스텔,37.267162,127.08146,경기 수원시 영통구 영통동 945-2,6,19
56,수원역 롯데몰 옥외주차장,37.262804,126.996356,경기 수원시 권선구 서둔동 389,6,19
57,천사의도시2 오피스텔,37.350383,127.107754,경기 성남시 분당구 금곡동 165 천사의도시2 오피스텔,10,28
58,회기역(삼육서울병원),37.589523,127.063044,서울 동대문구 휘경동 283-5,7,15
59,수진역환승주차장,37.437378,127.142014,경기 성남시 중원구 성남동 2126,9,21
60,명신주차장,37.531246,126.851555,서울 강서구 화곡동 872-36,5,16
61,가좌삼거리,37.570632,126.913325,서울 서대문구 남가좌동 269-9,6,25
62,AK와이즈플레이스오피스텔,37.368015,127.105003,경기 성남시 분당구 정자동 16-1,4,15
63,송산역 2번출구,37.737648,127.089508,경기 의정부시 민락동 746-4,10,15
64,우리빌딩,37.530123,126.842748,서울 강서구 화곡동 920-1,9,29
65,대우시티프라자,37.670776,126.758914,경기 고양시 일산서구 주엽동 115,9,19
66,테마폴리스,37.413174,127.127403,경기 성남시 분당구 야탑동 341,10,19
67,푸르지오시티,37.396912,127.112076,경기 성남시 분당구 삼평동 653,8,24
68,발곡초등학교 옆,37.727162,127.062417,경기 의정부시 신곡동 727-1,8,26
69,신이문역 3번출구,37.6012,127.069995,서울 동대문구 이문동 54,5,28
70,SK주유소 수내동점 주차장,37.367893,127.128464,경기 성남시 분당구 수내동 86,5,26
71,천일초등학교 뒤(삼호진덕아파트),37.302312,126.97772,경기 수원시 장안구 천천동 565,7,22
72,까치주차장,37.533512,126.842262,서울 강서구 화곡동 353-8,7,18
73,풍림2차아파트 103동 앞,37.593556,126.944063,서울 서대문구 홍은동 453-2,6,26
74,양평시장 공영주차장,37.491584,127.491487,경기 양평군 양평읍 양근리 380,6,22
75,보륜부페 주차장,37.601387,127.139113,경기 구리시 인창동 294-1,4,22
76,동덕여자대학교 옆,37.605172,127.039872,서울 성북구 하월곡동 222,5,30
77,한화 유로메트로 1단지 114동 지하 주차장,37.602238,126.725739,경기 김포시 풍무동 770,4,26
78,화곡6-1 공영주차장,37.553089,126.848747,서울 강서구 화곡동 1103-6,8,16
79,비전월드,37.387211,127.122589,경기 성남시 분당구 서현동 256,5,24
80,대성주차장(돌곶이역),37.610625,127.057954,서울 성북구 석관동 245-4,6,21
81,일산위브더제니스스퀘어,37.69379,126.763824,경기 고양시 일산서구 탄현동 1640,10,26
82,경진빌딩 야외 주차장,37.659216,127.177852,경기 남양주시 진건읍 용정리 768-1,6,24
83,가양역 6번출구,37.560555,126.855553,서울 강서구 등촌동 628,8,24
84,고양터미널 주차장,37.643157,126.790661,경기 고양시 일산동구 백석동 1242,6,20
85,AJ파크 장안점(덕원주차장),37.562229,127.068687,서울 동대문구 장안동 458-8,4,17
86,트리플렉스,37.252731,127.070892,경기 수원시 영통구 영통동 961-6,8,18
87,한솔센트럴파크오피스텔,37.390671,126.955566,경기 안양시 동안구 호계동 1048-3,5,21
88,9주차장(경기도여권민원실뒤),37.289281,127.033956,경기 수원시 팔달구 우만동 358-1,9,27
89,르메르디앙서울호텔,37.504848,127.027267,서울 강남구 역삼동 602,9,23
90,성남 센트럴 푸르지오 시티,37.435194,127.13811,경기 성남시 중원구 성남동 1404,8,30
91,마곡엠밸리 1단지,37.56884,126.818306,서울 강서구 마곡동 734,9,27
92,메가박스 세종점 주차장,36.602791,127.298012,세종특별자치시 조치원읍 교리 24-2,4,20
93,명지전문대,37.584216,126.924891,서울 서대문구 홍은동 356-1,6,17
94,풍년3단지대림아파트 302동 3~4라인 앞 지상주차장,37.622571,126.716201,경기 김포시 북변동 808,9,25
95,토평음식주차빌딩,37.590534,127.146797,경기 구리시 토평동 971,8,22
96,웨스턴853오피스텔,37.655284,126.773825,경기 고양시 일산동구 장항동 853-1,8,16
97,안양3동(안양월드),37.40163,126.9132,경기 안양시 만안구 안양동 900-10,10,26
98,현대백화점 무역센터점 별관주차장,37.512142,127.056526,서울 강남구 삼성1동 148-7,10,23
99,거주자우선주차구역,37.573283,126.929201,서울 서대문구 연희동 195-17,4,17
100,중원구청사거리,37.429199,127.136726,경기 성남시 중원구 하대원동 110-1,6,30
101,스피드메이트 송죽점 주차장,37.305601,127.003885,경기 수원시 장안구 송죽동 200-10 오터스카센타,4,17
102,안양역 1번출구,37.398911,126.924065,경기 안양시 만안구 안양1동 674-162,5,29
103,길원초등학교 옆,37.609125,127.013937,서울 성북구 정릉동 192-228,4,26
104,청담주차장,37.523766,127.04863,서울 강남구 청담동 49-3,10,19
105,봇들마을7단지아파트 704동,37.396863,127.11438,경기 성남시 분당구 삼평동 738,10,21
106,현대카센터주차장,37.591583,127.132835,경기 구리시 교문동 797-4,5,16
107,서봉마을2단지아파트 201동 앞,37.119516,126.916402,경기 화성시 향남읍 하길리 1447,8,30
108,장기음식주차타운,37.645042,126.670784,경기 김포시 장기동 1399,4,25
109,SK허브오피스텔 5core 1,37.391178,127.109199,경기 성남시 분당구 백현동 529,6,17
110,분당M타워,37.337651,127.11012,경기 성남시 분당구 구미동 188,4,29
111,화곡7-1 공영주차장,37.536068,126.839073,서울 강서구 화곡동 370-63,10,28
112,동화아파트,37.510719,127.023392,서울 강남구 논현동 122-8,5,24
113,천천푸르지오 119동,37.290631,126.979266,경기 수원시 장안구 천천동 333,8,18
114,일산메가시티,37.685334,126.77503,경기 고양시 일산서구 일산동 576-20,10,17
115,성원프라자,37.674661,126.786583,경기 고양시 일산동구 중산동 1812,7,28
116,한신한진아파트 211동 앞,37.595413,127.013252,서울 성북구 돈암동 609-1,6,22
117,우림로데오스위트,37.660248,126.770798,경기 고양시 일산동구 장항동 771-1,10,17
118,정릉스카이쌍용아파트 103동,37.600305,127.015865,서울 성북구 정릉동 1014,8,23
119,북수원교회 아래,37.309579,126.996875,경기 수원시 장안구 파장동 472-5,9,26
120,용성빌딩(부자됩니다) 기계식주차장,37.557047,126.937818,서울 서대문구 창천동 29-30,7,21
121,힐스테이트에코마곡나루역 오피스텔,37.567879,126.826692,서울 강서구 마곡동 760-1,10,19
122,컴피월드,37.645412,126.680634,경기 김포시 운양동 1428-2,5,24
123,랜드타워,37.712597,127.187683,경기 남양주시 진접읍 금곡리 1082,4,25
124,압구정 로데오거리,37.526905,127.038834,서울 강남구 신사동 662-12,10,27
125,수원 한일타운 131동,37.30495,127.008767,경기 수원시 장안구 조원동 881,7,26
126,주엽역 8번출구,37.670212,126.762917,경기 고양시 일산서구 주엽동 67,6,22
127,헤븐리치 오피스텔,37.402843,126.921106,경기 안양시 만안구 안양동 88-4,9,16
128,동탄동양파라곤,37.204124,127.071808,경기 화성시 반송동 93-11,8,20
129,도심역 2번출구(한강우성아파트),37.577626,127.224958,경기 남양주시 와부읍 도곡리 1012,6,28
130,대승주차장,37.500908,127.066643,서울 강남구 대치동 984-12,6,15
131,진접 제4노상공영주차장,37.714111,127.197973,경기 남양주시 진접읍 금곡리 1097,9,23
132,선릉역대우아이빌,37.504398,127.05139,서울 강남구 대치동 890-49,9,25
133,개화역광역 환승센터 주차장,37.577858,126.798027,서울 강서구 개화동 491-3,4,21
134,원흥봄 오피스텔,37.649708,126.874434,경기 고양시 덕양구 원흥동 627,4,16
135,SK허브블루빌딩,37.516899,127.041004,서울 강남구 논현동 241-3,10,30
136,힐스테이트에코 미사,37.562448,127.192294,경기 하남시 망월동 1106,4,29
137,대덕주차장,37.537476,127.204132,경기 하남시 덕풍동 420-4,6,23
138,극동스포츠빌딩,37.525422,127.025703,서울 강남구 신사동 575,9,20
139,아농스오피스텔 주차타워,37.567,126.931296,서울 서대문구 연희동 136-7,8,22
140,삼영주차장,37.431725,127.128378,경기 성남시 중원구 성남동 4165-1,10,20
141,한성대입구역 5번출구,37.588143,127.00468,서울 성북구 성북동1가 35-44,4,28
142,벽적골롯데아파트 946동,37.247527,127.06149,경기 수원시 영통구 영통동 971-1,9,20
143,행운주차장,37.421395,126.882902,경기 광명시 일직동 510-11,7,22
144,이문동웰츠타워,37.598822,127.062179,서울 동대문구 이문동 292-10,4,19
145,아이퍼스트타워,37.400352,126.976074,경기 안양시 동안구 관양동 1502-6,6,30
146,SK연희기지국 주차장,37.565243,126.929288,서울 서대문구 연희동 193-4,9,19
147,추계예대 앞,37.563988,126.954193,서울 서대문구 북아현동 1-238,5,26
148,LG트윈하우스,37.335724,127.109894,경기 성남시 분당구 구미동 192,6,24
149,덕회주차타워,37.20504,127.115555,경기 화성시 영천동 707-5,9,18
150,G타워,35.084045,128.903168,부산 강서구 명지동 3238,6,27
151,하안2단지 주공아파트 204동,37.466324,126.876307,경기 광명시 하안동 681,5,28
152,엘리트주차타워,37.555786,126.937813,서울 서대문구 창천동 29-90,8,21
153,돈암범양아파트,37.603655,127.027889,서울 성북구 돈암동 631,4,23
154,현대타운,37.472904,126.850952,경기 광명시 광명동 346-46,7,29
155,발산역 9번출구,37.559126,126.836366,서울 강서구 마곡동 797-4,9,15
156,대명주차장,37.503876,127.040421,서울 강남구 역삼동 674-14,7,30
157,AJ파크 논현점,37.516914,127.038574,서울 강남구 논현동 117-7,8,24
158,구운주차장,37.284206,126.97274,경기 수원시 권선구 구운동 899-7,9,15
159,효성레제스 오피스텔,37.641285,126.786825,경기 고양시 일산동구 백석동 1309-1,4,23
160,리치프라자3차,37.300616,127.046182,경기 수원시 영통구 이의동 1248-2,7,18
161,프라임주차장,37.264539,127.021191,경기 수원시 팔달구 인계동 1008-18,6,28
162,타이어아울렛 주차장,37.651175,127.305415,경기 남양주시 화도읍 창현리 482-7,5,25
163,문촌초등학교 옆,37.674228,126.75818,경기 고양시 일산서구 주엽동 12,6,25
164,그레이스타워,37.499561,127.031944,서울 강남구 역삼동 648-19,10,18
165,향남유료주차장,37.130116,126.922966,경기 화성시 향남읍 행정리 486-4,7,28
166,새한주차장,37.552396,126.851961,서울 강서구 화곡동 1120-13,4,16
167,미금파크주차빌딩,37.351017,127.111397,경기 성남시 분당구 금곡동 150,8,16
168,거주자우선주차장,37.584038,127.049004,서울 동대문구 청량리동 51-2,7,26
169,새롬빌딩,37.507725,127.045303,서울 강남구 역삼동 683-34,6,20
170,판교역 1번출구,37.39756,127.112427,경기 성남시 분당구 삼평동 657,5,30
171,캠코양재타워,37.487457,127.032982,서울 강남구 도곡동 949-3,9,19
172,정든마을동아2단지아파트 205동,37.359895,127.121756,경기 성남시 분당구 정자동 199,10,20
173,개운사 주차장,37.589043,127.029129,서울 성북구 안암동5가 156,5,17
174,SK북수원self주유소 주차장,37.304674,126.972629,경기 수원시 장안구 율전동 114-3,4,26
175,당촌초등학교 옆,37.373722,127.129287,경기 성남시 분당구 분당동 34,9,28
176,오현초등학교 옆,37.244974,126.965393,경기 수원시 권선구 오목천동 962,10,26
177,힐스테이트상가,37.547703,126.836845,서울 강서구 화곡동 1165-1,7,24
178,코엑스 옥상주차장(서문 GATE),37.511698,127.057775,서울 강남구 삼성동 159,7,26
179,송산주공아파트 113동 앞,37.74939,127.083118,경기 의정부시 용현동 547-3,8,19
180,양평역 2번출구 코레일주차장,37.494074,127.491712,경기 양평군 양평읍 양근리 130-9,8,17
181,신사역 1번출구(이래빌딩),37.516624,127.025208,서울 강남구 논현동 11-18,5,15
182,더판타지움 주차장,37.245201,127.061836,경기 수원시 영통구 영통동 981-2,9,15
183,회기역(베라체캠퍼스),37.590836,127.056213,서울 동대문구 회기동 346-18,10,27
184,위례중학교 뒤,37.478397,127.148239,경기 하남시 학암동 661,4,28
185,일성오퍼스원,37.448479,127.127052,경기 성남시 수정구 태평동 5113-7,7,18
186,마두역 1번출구(현대프리젠트),37.651225,126.777616,경기 고양시 일산동구 장항동 895,6,16
187,보타닉푸르지오시티,37.567298,126.826483,서울 강서구 마곡동 760,4,23
188,골든타워 주차장,37.563576,126.964516,서울 서대문구 충정로2가 191,8,15
189,SJ등촌골프연습장 주차장,37.558167,126.858261,서울 강서구 등촌동 629-7,9,16
190,정릉타워,37.607403,127.010254,서울 성북구 정릉동 408-3,7,22
191,양우로데오시티,37.664757,126.766678,경기 고양시 일산동구 장항동 730-1,4,27
192,SK주유소 목련점,37.412243,126.909958,경기 안양시 만안구 석수동 319-3,8,25
193,회기역 1번출구,37.59042,127.056999,서울 동대문구 휘경동 183-113,6,23
194,종암경찰서 옆,37.601551,127.032616,서울 성북구 종암동 3-1342,4,16
195,현대백화점 미아점 별관 주차장,37.607619,127.029743,서울 성북구 하월곡동 88-198,9,21
196,송학에버빌 2동 앞,37.606621,127.067041,서울 성북구 석관동 92-7,8,18
197,AJ파크 평촌역점 CGV전용 고객주차장,37.392944,126.96225,경기 안양시 동안구 관양동 1606,7,26
198,AJ파크 회룡역점,37.724556,127.046623,경기 의정부시 호원동 51-1,7,19
199,잠실감자탕 주차장,37.737343,127.043,경기 의정부시 의정부동 502,8,21
200,정자주차장,37.290066,127.000397,경기 수원시 장안구 정자동 75-18,7,18
201,화일주차장,37.541023,126.847359,서울 강서구 화곡동 61-184,8,24
202,비젼타워,37.496494,127.029716,서울 강남구 역삼동 826-26,7,23
203,별내동 노상 제4공영주차장,37.647039,127.121317,경기 남양주시 별내동 1026-3,4,25
204,남한산성입구역(성남중앙병원),37.453104,127.162185,경기 성남시 중원구 금광동 3956,8,17
205,양재SK허브프리모,37.485504,127.034302,서울 강남구 도곡동 953-1,4,23
206,동탄헤리움 오피스텔,37.21912,127.058372,경기 화성시 능동 1065-1,9,30
207,yesAPM주차장,37.557541,126.944977,서울 서대문구 대현동 145,4,26
208,국민대 주차장,37.610779,126.99501,서울 성북구 정릉동 861-1,4,29
209,어위시예다인,37.563103,126.850655,서울 강서구 등촌동 63-12,9,18
210,뉴힐탑호텔 논현 2호점,37.510941,127.031067,서울 강남구 논현동 152,4,20
211,행신1동 주민센터 앞,37.623135,126.834206,경기 고양시 덕양구 행신동 997,10,17
212,옥외주차장,37.556492,126.936089,서울 서대문구 창천동 30-33,8,30
213,구리역(유수지주차장),37.604244,127.145592,경기 구리시 인창동 239-3,9,22
214,서울카파크 주차장,37.68222,126.771095,경기 고양시 일산서구 일산동 655-95,8,30
215,e편한세상 4단지 AJ파크,37.557706,126.955431,서울 서대문구 북아현동 136-21,7,16
216,철골공영주차장,37.461601,126.879829,경기 광명시 하안동 38-1,6,25
217,SK엠시티 드라마파크 상가,37.654013,126.771071,경기 고양시 일산동구 장항동 869 SK엠시티드라마파크상가 지하1층,8,16
218,그랜드 타워 오피스텔,37.653277,126.686173,경기 김포시 운양동 1307-4,6,22
219,위워크타워,37.502336,127.043705,서울 강남구 역삼동 706,4,29
220,이마파킹,37.676903,126.747559,경기 고양시 일산서구 대화동 2207,4,15
221,홍제중앙하이츠아파트 앞,37.587093,126.936684,서울 서대문구 홍제동 334-182,6,29
222,녹양역 신환승주차장,37.760854,127.042869,경기 의정부시 녹양동 14-11,7,19
223,롯데프라자,37.246933,127.061508,경기 수원시 영통구 영통동 971-1,6,18
224,조치원역 서부주차장,36.601604,127.295158,세종특별자치시 조치원읍 원리 141-52,4,27
225,일산양일중학교 옆,37.676507,126.813194,경기 고양시 일산동구 식사동 647-1,6,21
226,화곡본-2 공영주차장,37.544201,126.848427,서울 강서구 화곡동 46-127,6,18
227,치매지원센터 공영주차장,37.510269,127.046387,서울 강남구 삼성동 113-26,7,25
228,마곡엠밸리14단지 1409동,37.557034,126.82354,서울 강서구 마곡동 750,6,24
229,신구초교공영주차장,37.522713,127.023575,서울 강남구 신사동 550-11,6,22
230,길음역,37.604038,127.025833,서울 성북구 하월곡동 104-112,10,22
231,테라스뷰,37.218332,127.059489,경기 화성시 능동 1064-1,9,24
232,부흥동주민센터 옆,37.393983,126.9478,경기 안양시 동안구 비산동 1103-4,6,25
233,광교중앙역 3번출구(써밋플레이스),37.290272,127.051674,경기 수원시 영통구 이의동 1332,9,28
234,강서구문화복지센터 옆,37.529255,126.8498,서울 강서구 화곡동 891-25,7,28
235,화신주차장,37.539604,126.834122,서울 강서구 화곡동 1070,6,24
236,이대역 1번출구,37.557374,126.94239,서울 서대문구 대현동 104-5,10,26
237,원당역 4번출구(신원당대명아파트),37.651752,126.835826,경기 고양시 덕양구 성사동 730,7,24
238,압구정주차장,37.526798,127.039551,서울 강남구 신사동 664-23,5,21
239,이마트 가양점 주차장,37.557568,126.86235,서울 강서구 가양동 449-19,6,17
240,시조사삼거리 유료주차장,37.589134,127.053833,서울 동대문구 회기동 65-44,10,26
241,샘내공원 옆,37.296961,126.981875,경기 수원시 장안구 천천동 524-1,5,23
242,진건초등학교 옆(세원빌라),37.657724,127.177443,경기 남양주시 진건읍 용정리 775-17,9,29
243,본메디타워,37.273994,127.047714,경기 수원시 영통구 원천동 78-3,8,18
244,안양종합운동장 앞,37.403812,126.948372,경기 안양시 동안구 비산동 1026-1,9,18
245,천사의도시1차,37.350727,127.108299,경기 성남시 분당구 금곡동 161,4,24
246,신흥주차장,37.396187,126.919632,경기 안양시 만안구 안양동 711-57,6,26
247,더굿메이트 상가전용,37.198484,126.826023,경기 화성시 남양읍 남양리 2320-5,4,24
248,안양초등학교 앞,37.395187,126.926888,경기 안양시 만안구 안양동 622-72,8,20
249,산호빌라,37.511138,127.030609,서울 강남구 논현동 151-4,9,22
250,정발산역 1번출구(양우드라마시티),37.656258,126.773317,경기 고양시 일산동구 장항동 854-1,4,16
251,송림주차타워,37.277882,127.035599,경기 수원시 팔달구 우만동 147-13,6,26
252,디아뜨크리스탈,37.640461,126.785484,경기 고양시 일산동구 백석동 1325,10,24
253,대아주차장,37.503841,127.033799,서울 강남구 역삼동 627-5,7,24
254,초림초등학교 옆(양지마을6단지),37.376216,127.116713,경기 성남시 분당구 수내동 32,6,26
255,호매실고등학교 옆,37.265351,126.959966,경기 수원시 권선구 호매실동 1371,7,27
256,수서역 공영주차장,37.487373,127.100021,서울 강남구 수서동 735,4,17
257,성원빌라,37.590598,127.009196,서울 성북구 동소문동4가 76,7,24
258,월곡역 1번출구,37.601513,127.037846,서울 성북구 종암동 104-1,9,28
259,AJ파크 우리프라자,37.675713,126.74678,경기 고양시 일산서구 대화동 2226,5,29
260,쌍용아파트 103동 앞,37.30592,127.005341,경기 수원시 장안구 조원동 881,6,24
261,모닝타운주차장,37.193878,127.073318,경기 화성시 반송동 220-4,6,26
262,논현초교 공영주차장,37.508205,127.02684,서울 강남구 논현동 168,10,15
263,개포동역 4번출구,37.489605,127.068466,서울 강남구 개포동 182-1,5,25
264,꽃뫼환승주차장,37.285385,126.9869,경기 수원시 팔달구 화서동 689-19,5,30
265,숲속마을풍성신미주아파트 894동,37.209532,127.049906,경기 화성시 능동 1126,7,20
266,계성고등학교 뒤,37.604981,127.022128,서울 성북구 길음동 1284-19,4,24
267,동화건설주차빌딩,37.540543,127.207336,경기 하남시 신장동 426-4,9,19
268,화이트빌,37.559399,126.931358,서울 서대문구 창천동 100-26,6,17
269,청학주공7단지아파트 707동,37.712,127.116813,경기 남양주시 별내면 청학리 353-1,9,16
270,시립동대문도서관 옆,37.57304,127.023895,서울 동대문구 신설동 117-12,10,28
271,정원유료주차장,37.439964,127.129745,경기 성남시 수정구 수진동 2964,9,28
272,백마역 1번출구(백마5단지),37.659718,126.791626,경기 고양시 일산동구 마두동 717,6,26
273,곰달래문화복지센터 공영주차장,37.529175,126.848946,서울 강서구 화곡8동 890,9,17
274,백석역사거리,37.643742,126.786369,경기 고양시 일산동구 백석동 1332-2,9,20
275,율헌빌 주차장,37.560261,126.927818,서울 서대문구 창천동 420,4,16
276,뉴코아아울렛 일산점 타워주차장,37.654773,126.777338,경기 고양시 일산동구 마두동 797-1,9,16
277,호원동한승미메이드 107동,37.721862,127.042495,경기 의정부시 호원동 289-7,5,25
